2026-07-22 13:39:29,606 | WARNING  | risk_manager | Trading halted for today: max_daily_profit_hit(5200.00)
2026-07-22 13:39:29,606 | INFO     | risk_manager | Win registered on TEST (test_strategy): +5200.00. Consecutive wins: 1
2026-07-22 13:39:29,606 | INFO     | risk_manager | Daily profit target reached/exceeded: ₹5000.00 >= ₹5000.00. Halting trading for today. Trading will restart automatically on the next date.
2026-07-22 13:39:29,606 | WARNING  | risk_manager | Trading halted for today: max_daily_profit_hit(5000.00)
2026-07-22 13:39:29,606 | INFO     | risk_manager | Win registered on TEST (test_strategy): +5000.00. Consecutive wins: 1
2026-07-22 13:39:29,607 | INFO     | risk_manager | New trading day detected (2026-07-22) — resetting daily profit target & counters, preserving equity/drawdown state.
2026-07-22 13:45:28,519 | INFO     | risk_manager | Loss registered on TEST (test_strategy): -20.00. Consecutive losses: 1
2026-07-22 13:45:28,520 | INFO     | risk_manager | Loss registered on TEST (test_strategy): -20.00. Consecutive losses: 2
2026-07-22 13:45:28,520 | WARNING  | risk_manager | Max consecutive losses (2) reached. Cooling down until 14:45:28. No new trades until then — market regime re-evaluated on resume.
2026-07-22 13:45:28,520 | INFO     | risk_manager | Position size reduced 50% after 2 consecutive losses.
2026-07-22 13:45:28,520 | INFO     | risk_manager | Loss registered on TEST (test_strategy): -20.00. Consecutive losses: 1
2026-07-22 13:45:28,521 | INFO     | risk_manager | Loss registered on TEST (test_strategy): -20.00. Consecutive losses: 1
2026-07-22 13:45:28,521 | INFO     | risk_manager | Loss registered on TEST (test_strategy): -20.00. Consecutive losses: 2
2026-07-22 13:45:28,521 | WARNING  | risk_manager | Max consecutive losses (2) reached. Cooling down until 14:45:28. No new trades until then — market regime re-evaluated on resume.
2026-07-22 13:45:28,521 | INFO     | risk_manager | Loss registered on TEST (test_strategy): -600.00. Consecutive losses: 1
2026-07-22 13:45:28,522 | WARNING  | risk_manager | Trading halted for today: max_daily_loss_hit(-600.00)
2026-07-22 13:45:28,522 | CRITICAL | risk_manager | EMERGENCY STOP TRIGGERED: test
2026-07-22 13:45:28,522 | INFO     | risk_manager | Loss registered on TEST (test_strategy): -20.00. Consecutive losses: 1
2026-07-22 13:45:28,523 | INFO     | risk_manager | Loss registered on TEST (test_strategy): -20.00. Consecutive losses: 2
2026-07-22 13:45:28,523 | WARNING  | risk_manager | Max consecutive losses (2) reached. Cooling down until 14:45:28. No new trades until then — market regime re-evaluated on resume.
2026-07-22 13:45:28,523 | INFO     | risk_manager | Win registered on TEST (test_strategy): +50.00. Consecutive wins: 1
2026-07-22 13:45:28,523 | INFO     | risk_manager | Consecutive win streak achieved — position sizing restored to normal.
2026-07-22 13:45:28,523 | INFO     | risk_manager | Win registered on TEST (test_strategy): +50.00. Consecutive wins: 2
2026-07-22 13:45:28,523 | INFO     | risk_manager | Daily profit target reached/exceeded: ₹5200.00 >= ₹5000.00. Halting trading for today. Trading will restart automatically on the next date.
2026-07-22 13:45:28,524 | WARNING  | risk_manager | Trading halted for today: max_daily_profit_hit(5200.00)
2026-07-22 13:45:28,524 | INFO     | risk_manager | Win registered on TEST (test_strategy): +5200.00. Consecutive wins: 1
2026-07-22 13:45:28,524 | INFO     | risk_manager | Daily profit target reached/exceeded: ₹5000.00 >= ₹5000.00. Halting trading for today. Trading will restart automatically on the next date.
2026-07-22 13:45:28,524 | WARNING  | risk_manager | Trading halted for today: max_daily_profit_hit(5000.00)
2026-07-22 13:45:28,524 | INFO     | risk_manager | Win registered on TEST (test_strategy): +5000.00. Consecutive wins: 1
2026-07-22 13:45:28,525 | INFO     | risk_manager | New trading day detected (2026-07-22) — resetting daily profit target & counters, preserving equity/drawdown state.
2026-07-22 13:46:01,072 | INFO     | risk_manager | Loss registered on INFY_26JUL23_1050_CE (rsi_macd_confluence): -1.68. Consecutive losses: 1
2026-07-22 13:46:12,308 | INFO     | risk_manager | Loss registered on HDFCBANK_26JUL23_750_CE (ema_supertrend): -51.70. Consecutive losses: 2
2026-07-22 13:46:12,308 | WARNING  | risk_manager | Max consecutive losses (2) reached. Cooling down until 14:46:12. No new trades until then — market regime re-evaluated on resume.
2026-07-22 13:50:17,951 | INFO     | risk_manager | Loss registered on TEST (test_strategy): -20.00. Consecutive losses: 1
2026-07-22 13:50:17,951 | INFO     | risk_manager | Loss registered on TEST (test_strategy): -20.00. Consecutive losses: 2
2026-07-22 13:50:17,951 | WARNING  | risk_manager | Max consecutive losses (2) reached. Cooling down until 14:50:17. No new trades until then — market regime re-evaluated on resume.
2026-07-22 13:50:17,951 | INFO     | risk_manager | Position size reduced 50% after 2 consecutive losses.
2026-07-22 13:50:17,952 | INFO     | risk_manager | Loss registered on TEST (test_strategy): -20.00. Consecutive losses: 1
2026-07-22 13:50:17,952 | INFO     | risk_manager | Loss registered on TEST (test_strategy): -20.00. Consecutive losses: 1
2026-07-22 13:50:17,953 | INFO     | risk_manager | Loss registered on TEST (test_strategy): -20.00. Consecutive losses: 2
2026-07-22 13:50:17,953 | WARNING  | risk_manager | Max consecutive losses (2) reached. Cooling down until 14:50:17. No new trades until then — market regime re-evaluated on resume.
2026-07-22 13:50:17,953 | INFO     | risk_manager | Loss registered on TEST (test_strategy): -600.00. Consecutive losses: 1
2026-07-22 13:50:17,954 | WARNING  | risk_manager | Trading halted for today: max_daily_loss_hit(-600.00)
2026-07-22 13:50:17,954 | CRITICAL | risk_manager | EMERGENCY STOP TRIGGERED: test
2026-07-22 13:50:17,955 | INFO     | risk_manager | Loss registered on TEST (test_strategy): -20.00. Consecutive losses: 1
2026-07-22 13:50:17,955 | INFO     | risk_manager | Loss registered on TEST (test_strategy): -20.00. Consecutive losses: 2
2026-07-22 13:50:17,955 | WARNING  | risk_manager | Max consecutive losses (2) reached. Cooling down until 14:50:17. No new trades until then — market regime re-evaluated on resume.
2026-07-22 13:50:17,955 | INFO     | risk_manager | Win registered on TEST (test_strategy): +50.00. Consecutive wins: 1
2026-07-22 13:50:17,955 | INFO     | risk_manager | Consecutive win streak achieved — position sizing restored to normal.
2026-07-22 13:50:17,955 | INFO     | risk_manager | Win registered on TEST (test_strategy): +50.00. Consecutive wins: 2
2026-07-22 13:50:17,956 | INFO     | risk_manager | Daily profit target reached/exceeded: ₹5200.00 >= ₹5000.00. Halting trading for today. Trading will restart automatically on the next date.
2026-07-22 13:50:17,956 | WARNING  | risk_manager | Trading halted for today: max_daily_profit_hit(5200.00)
